locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCPCFBLM_03628	CDS	1341	pfeS_1	2.7.13.3	COG0642	Sensor protein PfeS
BCPCFBLM_03629	CDS	2229	pfeA_1		COG4771	Ferric enterobactin receptor
BCPCFBLM_03630	CDS	900	cysM	2.5.1.47	COG0031	Cysteine synthase B
BCPCFBLM_03631	CDS	1353	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
BCPCFBLM_03632	CDS	2244	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
BCPCFBLM_03633	CDS	831	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
BCPCFBLM_03634	CDS	939				hypothetical protein
BCPCFBLM_03635	CDS	540				hypothetical protein
BCPCFBLM_03636	CDS	1329				hypothetical protein
BCPCFBLM_03637	CDS	192				hypothetical protein
BCPCFBLM_03638	CDS	327				hypothetical protein
BCPCFBLM_03639	CDS	255				hypothetical protein
BCPCFBLM_03640	CDS	234				hypothetical protein
BCPCFBLM_03641	CDS	561				hypothetical protein
BCPCFBLM_03642	CDS	717				hypothetical protein
BCPCFBLM_03643	CDS	669	purN_1	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
BCPCFBLM_03644	CDS	1062	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
BCPCFBLM_03645	CDS	1038				hypothetical protein
BCPCFBLM_03646	CDS	705	hda		COG0593	DnaA regulatory inactivator Hda
BCPCFBLM_03647	CDS	420				hypothetical protein
BCPCFBLM_03648	CDS	597		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
BCPCFBLM_03649	CDS	354	yfgD		COG1393	putative protein YfgD
BCPCFBLM_03650	CDS	1236				hypothetical protein
BCPCFBLM_03651	CDS	195				hypothetical protein
BCPCFBLM_03652	CDS	384				hypothetical protein
BCPCFBLM_03653	CDS	465	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
BCPCFBLM_03654	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
BCPCFBLM_03655	CDS	957				hypothetical protein
BCPCFBLM_03656	CDS	1716	proS	6.1.1.15	COG0442	Proline--tRNA ligase
BCPCFBLM_03657	CDS	408				hypothetical protein
BCPCFBLM_03658	CDS	459	oprD_2	3.4.21.-		Porin D
BCPCFBLM_03659	CDS	714	oprD_3	3.4.21.-		Porin D
BCPCFBLM_03660	CDS	429				hypothetical protein
BCPCFBLM_03661	CDS	210	slyX			Protein SlyX
BCPCFBLM_03662	CDS	615				hypothetical protein
BCPCFBLM_03663	CDS	471			COG0783	putative protein
BCPCFBLM_03664	CDS	1776	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
BCPCFBLM_03665	CDS	747	pmpR		COG0217	Transcriptional regulatory protein PmpR
BCPCFBLM_03666	CDS	525	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
BCPCFBLM_03667	CDS	606	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
BCPCFBLM_03668	CDS	1059	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
BCPCFBLM_03669	CDS	447	ybgC_1	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
BCPCFBLM_03670	CDS	696	tolQ_2		COG0811	Tol-Pal system protein TolQ
BCPCFBLM_03671	CDS	441	exbD_1		COG0848	Biopolymer transport protein ExbD
BCPCFBLM_03672	CDS	1044	tolA			Tol-Pal system protein TolA
BCPCFBLM_03673	CDS	1299	tolB_2		COG0823	Tol-Pal system protein TolB
BCPCFBLM_03674	CDS	507	pal_4		COG2885	Peptidoglycan-associated lipoprotein
BCPCFBLM_03675	CDS	825	cpoB_2			Cell division coordinator CpoB
BCPCFBLM_03676	CDS	648	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
BCPCFBLM_03677	CDS	675	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
BCPCFBLM_03678	tRNA	76				tRNA-Lys(ttt)
BCPCFBLM_03679	CDS	1302	xerC_2			Tyrosine recombinase XerC
BCPCFBLM_03680	CDS	1923				hypothetical protein
BCPCFBLM_03681	CDS	1251				IS256 family transposase ISRso7
BCPCFBLM_03682	CDS	240				hypothetical protein
BCPCFBLM_03683	CDS	918				hypothetical protein
BCPCFBLM_03684	CDS	360				hypothetical protein
BCPCFBLM_03685	CDS	273				hypothetical protein
BCPCFBLM_03686	CDS	1527				hypothetical protein
BCPCFBLM_03687	CDS	348				hypothetical protein
BCPCFBLM_03688	CDS	456	puuA_3	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
BCPCFBLM_03689	CDS	1371	puuP_4		COG0531	Putrescine importer PuuP
BCPCFBLM_03690	CDS	1230	sstT		COG3633	Serine/threonine transporter SstT
BCPCFBLM_03691	CDS	903				hypothetical protein
BCPCFBLM_03692	CDS	1875				hypothetical protein
BCPCFBLM_03693	CDS	261	yidD			Putative membrane protein insertion efficiency factor
BCPCFBLM_03694	CDS	1356				hypothetical protein
BCPCFBLM_03695	CDS	933	rhaS_7			HTH-type transcriptional activator RhaS
BCPCFBLM_03696	CDS	297				hypothetical protein
BCPCFBLM_03697	CDS	1995				hypothetical protein
BCPCFBLM_03698	CDS	507	fecI_6		COG1595	putative RNA polymerase sigma factor FecI
BCPCFBLM_03699	CDS	954	fecR_5		COG3712	Protein FecR
BCPCFBLM_03700	CDS	471	cynS	4.2.1.104	COG1513	Cyanate hydratase
BCPCFBLM_03701	CDS	663	cynT_1	4.2.1.1	COG0288	Carbonic anhydrase 1
BCPCFBLM_03702	CDS	888	cynR_3			HTH-type transcriptional regulator CynR
BCPCFBLM_03703	CDS	1416	efpA			putative MFS-type transporter EfpA
BCPCFBLM_03704	CDS	903	pgrR_6			HTH-type transcriptional regulator PgrR
BCPCFBLM_03705	CDS	2958	btuB_8			Vitamin B12 transporter BtuB
BCPCFBLM_03706	CDS	1809				hypothetical protein
BCPCFBLM_03707	CDS	1074	yejB_2		COG4174	Inner membrane ABC transporter permease protein YejB
BCPCFBLM_03708	CDS	1017	yejE_2		COG4239	Inner membrane ABC transporter permease protein YejE
BCPCFBLM_03709	CDS	1611	yejF_2		COG4172	putative ABC transporter ATP-binding protein YejF
BCPCFBLM_03710	CDS	1182	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
BCPCFBLM_03711	CDS	1224				hypothetical protein
BCPCFBLM_03712	CDS	1056	copB_1			Copper resistance protein B
BCPCFBLM_03713	CDS	1845	copA_2			Copper resistance protein A
BCPCFBLM_03714	CDS	639				hypothetical protein
BCPCFBLM_03715	CDS	669		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
BCPCFBLM_03716	CDS	1164	hcaT_2			putative 3-phenylpropionic acid transporter
BCPCFBLM_03717	CDS	1725	novN	2.1.3.12		Decarbamoylnovobiocin carbamoyltransferase
BCPCFBLM_03718	CDS	2643	btuB_9			Vitamin B12 transporter BtuB
BCPCFBLM_03719	CDS	2109	fusB		COG0480	Elongation factor G 2
BCPCFBLM_03720	CDS	2595				hypothetical protein
BCPCFBLM_03721	CDS	1662				hypothetical protein
BCPCFBLM_03722	CDS	210				hypothetical protein
BCPCFBLM_03723	CDS	951	catM			HTH-type transcriptional regulator CatM
BCPCFBLM_03724	CDS	1905				hypothetical protein
BCPCFBLM_03725	CDS	1875				hypothetical protein
BCPCFBLM_03726	CDS	1407	aroP_3		COG1113	Aromatic amino acid transport protein AroP
BCPCFBLM_03727	CDS	1251	kynU	3.7.1.3		Kynureninase
BCPCFBLM_03728	CDS	642	kynB	3.5.1.9	COG1878	Kynurenine formamidase
BCPCFBLM_03729	CDS	477	lrp_3		COG1522	Leucine-responsive regulatory protein
BCPCFBLM_03730	CDS	1275	cmtAb	1.14.12.25	COG4638	p-cumate 2,3-dioxygenase system, large oxygenase component
BCPCFBLM_03731	CDS	1833	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
BCPCFBLM_03732	CDS	510	cmtAc			p-cumate 2,3-dioxygenase system, small oxygenase component
BCPCFBLM_03733	CDS	903		3.8.1.3	COG0596	Fluoroacetate dehalogenase
BCPCFBLM_03734	CDS	657				hypothetical protein
BCPCFBLM_03735	CDS	849	tam_5	2.1.1.144		Trans-aconitate 2-methyltransferase
BCPCFBLM_03736	CDS	2652	pfeA_2		COG4771	Ferric enterobactin receptor
BCPCFBLM_03737	CDS	1080	ssuD_3	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
BCPCFBLM_03738	CDS	1284				L-lactate transporter
BCPCFBLM_03739	CDS	1197	pbuE_3		COG2814	Purine efflux pump PbuE
BCPCFBLM_03740	CDS	510	fecI_7		COG1595	putative RNA polymerase sigma factor FecI
BCPCFBLM_03741	CDS	957				hypothetical protein
BCPCFBLM_03742	CDS	846				hypothetical protein
BCPCFBLM_03743	CDS	432				hypothetical protein
BCPCFBLM_03744	CDS	732	ligE			Beta-etherase
BCPCFBLM_03745	CDS	1029				hypothetical protein
BCPCFBLM_03746	CDS	582	comR_2			HTH-type transcriptional repressor ComR
BCPCFBLM_03747	CDS	1035				putative HTH-type transcriptional regulator
BCPCFBLM_03748	CDS	1476		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
BCPCFBLM_03749	CDS	957	lipR	3.1.1.-	COG0657	Putative acetyl-hydrolase LipR
BCPCFBLM_03750	CDS	759				hypothetical protein
BCPCFBLM_03751	CDS	399				hypothetical protein
BCPCFBLM_03752	CDS	1773	ydaP		COG0028	Putative thiamine pyrophosphate-containing protein YdaP
BCPCFBLM_03753	CDS	477				hypothetical protein
BCPCFBLM_03754	CDS	942	pxpC_3	3.5.2.9	COG1984	5-oxoprolinase subunit C
BCPCFBLM_03755	CDS	714	pxpB_3	3.5.2.9	COG2049	5-oxoprolinase subunit B
BCPCFBLM_03756	CDS	744	pxpA3_2	3.5.2.9	COG1540	5-oxoprolinase subunit A 3
BCPCFBLM_03757	CDS	1230	nicP_6			Porin-like protein NicP
BCPCFBLM_03758	CDS	1272	yjhB_1			Putative metabolite transport protein YjhB
BCPCFBLM_03759	CDS	1047	hdfR_8			HTH-type transcriptional regulator HdfR
BCPCFBLM_03760	CDS	798		4.2.1.-	COG4336	Putative hydro-lyase
BCPCFBLM_03761	CDS	984				hypothetical protein
BCPCFBLM_03762	CDS	1077	ada_2		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
BCPCFBLM_03763	CDS	243				hypothetical protein
BCPCFBLM_03764	CDS	1113				hypothetical protein
BCPCFBLM_03765	CDS	429				hypothetical protein
BCPCFBLM_03766	CDS	906	leuO			HTH-type transcriptional regulator LeuO
BCPCFBLM_03767	CDS	1128				hypothetical protein
BCPCFBLM_03768	CDS	933	dmlR_10			HTH-type transcriptional regulator DmlR
BCPCFBLM_03769	CDS	1638	betA_1	1.1.99.1	COG2303	Oxygen-dependent choline dehydrogenase
BCPCFBLM_03770	CDS	1449	gbsA_1	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
BCPCFBLM_03771	CDS	636	ybdM		COG1475	putative protein YbdM
BCPCFBLM_03772	CDS	1227				hypothetical protein
BCPCFBLM_03773	CDS	483				hypothetical protein
BCPCFBLM_03774	CDS	747	yadV_3			putative fimbrial chaperone YadV
BCPCFBLM_03775	CDS	2619	elfC		COG3188	putative outer membrane usher protein ElfC
BCPCFBLM_03776	CDS	1362				hypothetical protein
BCPCFBLM_03777	CDS	681	yraI			putative fimbrial chaperone YraI
BCPCFBLM_03778	CDS	858	pdeB_1	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeB
BCPCFBLM_03779	CDS	525				hypothetical protein
BCPCFBLM_03780	CDS	1365				hypothetical protein
BCPCFBLM_03781	CDS	450				hypothetical protein
BCPCFBLM_03782	CDS	525				hypothetical protein
BCPCFBLM_03783	CDS	390				hypothetical protein
BCPCFBLM_03784	CDS	2523	ligD		COG1793	Multifunctional non-homologous end joining protein LigD
BCPCFBLM_03785	CDS	216				hypothetical protein
BCPCFBLM_03786	CDS	240				hypothetical protein
BCPCFBLM_03787	CDS	519	pncC_2	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
BCPCFBLM_03788	CDS	861	ydaD	1.-.-.-		General stress protein 39
BCPCFBLM_03789	CDS	189				hypothetical protein
BCPCFBLM_03790	CDS	288				hypothetical protein
BCPCFBLM_03791	CDS	2439	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
BCPCFBLM_03792	CDS	399				hypothetical protein
BCPCFBLM_03793	CDS	165				hypothetical protein
BCPCFBLM_03794	CDS	168				hypothetical protein
BCPCFBLM_03795	CDS	2130	katE	1.11.1.6	COG0753	Catalase HPII
BCPCFBLM_03796	CDS	135				hypothetical protein
BCPCFBLM_03797	CDS	492				hypothetical protein
BCPCFBLM_03798	CDS	243				hypothetical protein
BCPCFBLM_03799	CDS	888	ku		COG1273	Non-homologous end joining protein Ku
BCPCFBLM_03800	CDS	1995	glgE2	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 2
BCPCFBLM_03801	CDS	3303		2.7.1.8		Glucosamine kinase
BCPCFBLM_03802	CDS	2199	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
BCPCFBLM_03803	CDS	996	ybhN		COG0392	Inner membrane protein YbhN
BCPCFBLM_03804	CDS	1206	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
BCPCFBLM_03805	CDS	738				hypothetical protein
BCPCFBLM_03806	CDS	939				hypothetical protein
BCPCFBLM_03807	CDS	1248		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
BCPCFBLM_03808	CDS	417	hrp1		COG0517	Hypoxic response protein 1
BCPCFBLM_03809	CDS	2151	glgX	3.2.1.-	COG1523	Glycogen operon protein GlgX 
BCPCFBLM_03810	CDS	306				hypothetical protein
BCPCFBLM_03811	CDS	2781				hypothetical protein
BCPCFBLM_03812	CDS	2055	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
BCPCFBLM_03813	CDS	1755	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
BCPCFBLM_03814	CDS	1605	glgA	2.4.1.21	COG0297	Glycogen synthase
BCPCFBLM_03815	CDS	366				hypothetical protein
BCPCFBLM_03816	CDS	1098				hypothetical protein
BCPCFBLM_03817	CDS	777				hypothetical protein
BCPCFBLM_03818	CDS	453				hypothetical protein
BCPCFBLM_03819	CDS	471			COG5592	DNA nickase
BCPCFBLM_03820	CDS	1077				hypothetical protein
BCPCFBLM_03821	CDS	351				hypothetical protein
BCPCFBLM_03822	CDS	222				hypothetical protein
BCPCFBLM_03823	CDS	264				hypothetical protein
BCPCFBLM_03824	CDS	348				hypothetical protein
BCPCFBLM_03825	CDS	591				hypothetical protein
BCPCFBLM_03826	CDS	1953	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
BCPCFBLM_03827	CDS	609	yohC_1			Inner membrane protein YohC
BCPCFBLM_03828	CDS	222				hypothetical protein
BCPCFBLM_03829	CDS	951	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
BCPCFBLM_03830	CDS	1377				hypothetical protein
BCPCFBLM_03831	CDS	1215	gshA_2	6.3.2.2		Glutamate--cysteine ligase
BCPCFBLM_03832	CDS	423				hypothetical protein
BCPCFBLM_03833	CDS	555	clpP_4	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
BCPCFBLM_03834	CDS	1233				hypothetical protein
BCPCFBLM_03835	CDS	315	hcnA_2	1.4.99.5	COG0446	Hydrogen cyanide synthase subunit HcnA
BCPCFBLM_03836	CDS	1395	hcnB_2	1.4.99.5		Hydrogen cyanide synthase subunit HcnB
BCPCFBLM_03837	CDS	1254	hcnC_2	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
BCPCFBLM_03838	CDS	585	nemR_2			HTH-type transcriptional repressor NemR
BCPCFBLM_03839	CDS	1038	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
BCPCFBLM_03840	CDS	345				hypothetical protein
BCPCFBLM_03841	CDS	876	garR_2	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
BCPCFBLM_03842	CDS	1596	pdeB_2	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
BCPCFBLM_03843	CDS	885				hypothetical protein
BCPCFBLM_03844	CDS	678	yecS_4		COG0765	L-cystine transport system permease protein YecS
BCPCFBLM_03845	CDS	717	gltJ_2		COG0765	Glutamate/aspartate import permease protein GltJ
BCPCFBLM_03846	CDS	807	mltF_4	4.2.2.-		Membrane-bound lytic murein transglycosylase F
BCPCFBLM_03847	CDS	477				hypothetical protein
BCPCFBLM_03848	CDS	948	gbpR_1			HTH-type transcriptional regulator GbpR
BCPCFBLM_03849	CDS	1521				hypothetical protein
BCPCFBLM_03850	CDS	531				hypothetical protein
BCPCFBLM_03851	CDS	1014				hypothetical protein
BCPCFBLM_03852	CDS	1326	garP			putative galactarate transporter
BCPCFBLM_03853	CDS	960				hypothetical protein
BCPCFBLM_03854	CDS	1014	pdxA2	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
BCPCFBLM_03855	CDS	1251	nicP_7			Porin-like protein NicP
BCPCFBLM_03856	CDS	1323	rhmT			Inner membrane transport protein RhmT
BCPCFBLM_03857	CDS	1176	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
BCPCFBLM_03858	CDS	996				hypothetical protein
BCPCFBLM_03859	CDS	1584		1.2.1.26		Alpha-ketoglutaric semialdehyde dehydrogenase
BCPCFBLM_03860	CDS	621	pqiA_1		COG2995	Intermembrane transport protein PqiA
BCPCFBLM_03861	CDS	309				IS3 family transposase IS222
BCPCFBLM_03862	CDS	684	xerC_3			Tyrosine recombinase XerC
BCPCFBLM_03863	CDS	276				hypothetical protein
BCPCFBLM_03864	CDS	426				hypothetical protein
BCPCFBLM_03865	CDS	324				hypothetical protein
BCPCFBLM_03866	CDS	273				hypothetical protein
BCPCFBLM_03867	CDS	426				hypothetical protein
BCPCFBLM_03868	CDS	885	yofA_2		COG0583	HTH-type transcriptional regulator YofA
BCPCFBLM_03869	CDS	954	yjiE_2			HTH-type transcriptional regulator YjiE
BCPCFBLM_03870	CDS	435				hypothetical protein
BCPCFBLM_03871	CDS	1248	cefD_1	5.1.1.17	COG0520	Isopenicillin N epimerase
BCPCFBLM_03872	CDS	1296				hypothetical protein
BCPCFBLM_03873	CDS	1248	nanT_2			Sialic acid transporter NanT
BCPCFBLM_03874	CDS	702	hdl IVa	3.8.1.2		(S)-2-haloacid dehalogenase 4A
BCPCFBLM_03875	CDS	1317	mntH_2			Divalent metal cation transporter MntH
BCPCFBLM_03876	CDS	474				hypothetical protein
BCPCFBLM_03877	CDS	768	amiD_2	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
BCPCFBLM_03878	CDS	396				hypothetical protein
BCPCFBLM_03879	CDS	228				hypothetical protein
BCPCFBLM_03880	CDS	822		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
BCPCFBLM_03881	CDS	441			COG2764	putative protein
BCPCFBLM_03882	CDS	324				hypothetical protein
BCPCFBLM_03883	CDS	1521				hypothetical protein
BCPCFBLM_03884	CDS	297				hypothetical protein
BCPCFBLM_03885	CDS	2322				hypothetical protein
BCPCFBLM_03886	CDS	612	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BCPCFBLM_03887	CDS	723	gntR_2			putative D-xylose utilization operon transcriptional repressor
BCPCFBLM_03888	CDS	897	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
BCPCFBLM_03889	CDS	1128	prpC_2	2.3.3.5	COG0372	2-methylcitrate synthase
BCPCFBLM_03890	CDS	2607	acnM	4.2.1.3	COG1048	Aconitate hydratase A
BCPCFBLM_03891	CDS	1188	prpF	5.3.3.-	COG2828	2-methyl-aconitate isomerase
BCPCFBLM_03892	CDS	1485	mmgE	4.2.1.-	COG2079	Citrate/2-methylcitrate dehydratase
BCPCFBLM_03893	CDS	789	nimR_6			HTH-type transcriptional regulator NimR
BCPCFBLM_03894	CDS	816				hypothetical protein
BCPCFBLM_03895	CDS	1416	proY_2		COG1113	Proline-specific permease ProY
BCPCFBLM_03896	CDS	666	COQ3_5	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
BCPCFBLM_03897	CDS	204				hypothetical protein
BCPCFBLM_03898	CDS	2994				hypothetical protein
BCPCFBLM_03899	CDS	1164				hypothetical protein
BCPCFBLM_03900	CDS	306	gdx_3			Guanidinium exporter
BCPCFBLM_03901	CDS	639	azoR1_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
BCPCFBLM_03902	CDS	918	gcvA_6			Glycine cleavage system transcriptional activator
BCPCFBLM_03903	CDS	1521	putP_1		COG0591	Sodium/proline symporter
BCPCFBLM_03904	CDS	3183	putA		COG0506	Bifunctional protein PutA
BCPCFBLM_03905	CDS	2064			COG1629	putative TonB-dependent receptor
BCPCFBLM_03906	CDS	753	rhaS_8			HTH-type transcriptional activator RhaS
BCPCFBLM_03907	CDS	2400	lon_2	3.4.21.53	COG0466	Lon protease
BCPCFBLM_03908	CDS	405				hypothetical protein
BCPCFBLM_03909	CDS	753				hypothetical protein
BCPCFBLM_03910	CDS	573				hypothetical protein
BCPCFBLM_03911	CDS	759	cmoA_1	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
BCPCFBLM_03912	CDS	969	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
BCPCFBLM_03913	CDS	747	pdxJ	2.6.99.2		Pyridoxine 5'-phosphate synthase
BCPCFBLM_03914	CDS	702	recO		COG1381	DNA repair protein RecO
BCPCFBLM_03915	CDS	918	era		COG1159	GTPase Era
BCPCFBLM_03916	CDS	690	rnc	3.1.26.3	COG0571	Ribonuclease 3
BCPCFBLM_03917	CDS	378				hypothetical protein
BCPCFBLM_03918	CDS	855	lepB_2	3.4.21.89	COG0681	Signal peptidase I
BCPCFBLM_03919	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
BCPCFBLM_03920	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
BCPCFBLM_03921	CDS	456	rseC		COG3086	Protein RseC
BCPCFBLM_03922	CDS	951	mucB		COG3026	Sigma factor AlgU regulatory protein MucB
BCPCFBLM_03923	CDS	585	mucA		COG3073	Sigma factor AlgU negative regulatory protein
BCPCFBLM_03924	CDS	582	algU_2		COG1595	RNA polymerase sigma-H factor
BCPCFBLM_03925	CDS	1617	nadB	1.4.3.16	COG0029	L-aspartate oxidase
BCPCFBLM_03926	CDS	453				hypothetical protein
BCPCFBLM_03927	CDS	255	sdhE		COG2938	FAD assembly factor SdhE
BCPCFBLM_03928	CDS	945	ygfZ		COG0354	tRNA-modifying protein YgfZ
BCPCFBLM_03929	CDS	837				hypothetical protein
BCPCFBLM_03930	CDS	1383	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
BCPCFBLM_03931	CDS	672	tctD		COG0745	Transcriptional regulatory protein tctD
BCPCFBLM_03932	CDS	1284	nicP_8			Porin-like protein NicP
BCPCFBLM_03933	CDS	984				hypothetical protein
BCPCFBLM_03934	CDS	471				hypothetical protein
BCPCFBLM_03935	CDS	1518				hypothetical protein
BCPCFBLM_03936	CDS	1038				hypothetical protein
BCPCFBLM_03937	CDS	696	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
BCPCFBLM_03938	CDS	822	vanW		COG2720	Vancomycin B-type resistance protein VanW
BCPCFBLM_03939	CDS	882	btr_1		COG0614	HTH-type transcriptional activator Btr
BCPCFBLM_03940	CDS	1509	mmsA_1	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
BCPCFBLM_03941	CDS	1164	acrC_2	1.3.1.95		Acryloyl-CoA reductase (NADH)
BCPCFBLM_03942	CDS	819	crt_3	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
BCPCFBLM_03943	CDS	1104	menB_2	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
BCPCFBLM_03944	CDS	897		1.1.1.387	COG2084	NAD-dependent L-serine dehydrogenase
BCPCFBLM_03945	CDS	645				hypothetical protein
BCPCFBLM_03946	CDS	642				hypothetical protein
BCPCFBLM_03947	CDS	1977	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
BCPCFBLM_03948	CDS	915	hdfR_9			HTH-type transcriptional regulator HdfR
BCPCFBLM_03949	CDS	189				hypothetical protein
BCPCFBLM_03950	CDS	246				hypothetical protein
BCPCFBLM_03951	CDS	450				hypothetical protein
BCPCFBLM_03952	CDS	168				hypothetical protein
BCPCFBLM_03953	CDS	1077				hypothetical protein
BCPCFBLM_03954	CDS	816				hypothetical protein
BCPCFBLM_03955	CDS	213				hypothetical protein
BCPCFBLM_03956	CDS	693	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
BCPCFBLM_03957	CDS	1044				hypothetical protein
BCPCFBLM_03958	CDS	738				hypothetical protein
BCPCFBLM_03959	CDS	903	rhlA_2	2.3.1.-		3-(3-hydroxydecanoyloxy)decanoate synthase
BCPCFBLM_03960	tRNA	74				tRNA-Gly(ccc)
BCPCFBLM_03961	CDS	1929				hypothetical protein
BCPCFBLM_03962	CDS	756				hypothetical protein
BCPCFBLM_03963	CDS	213				hypothetical protein
BCPCFBLM_03964	CDS	876			COG1192	putative protein
BCPCFBLM_03965	CDS	249				hypothetical protein
BCPCFBLM_03966	CDS	1629				hypothetical protein
BCPCFBLM_03967	CDS	561				hypothetical protein
BCPCFBLM_03968	CDS	1245				hypothetical protein
BCPCFBLM_03969	CDS	786				hypothetical protein
BCPCFBLM_03970	CDS	528				hypothetical protein
BCPCFBLM_03971	CDS	441				Single-stranded DNA-binding protein
BCPCFBLM_03972	CDS	2013	topB	5.6.2.1	COG0550	DNA topoisomerase 3
BCPCFBLM_03973	CDS	246				hypothetical protein
BCPCFBLM_03974	CDS	213				hypothetical protein
BCPCFBLM_03975	CDS	393				hypothetical protein
BCPCFBLM_03976	CDS	738				hypothetical protein
BCPCFBLM_03977	CDS	279				hypothetical protein
BCPCFBLM_03978	CDS	813				hypothetical protein
BCPCFBLM_03979	CDS	915				hypothetical protein
BCPCFBLM_03980	CDS	699				hypothetical protein
BCPCFBLM_03981	CDS	408				hypothetical protein
BCPCFBLM_03982	CDS	651				hypothetical protein
BCPCFBLM_03983	CDS	1122				hypothetical protein
BCPCFBLM_03984	CDS	195				hypothetical protein
BCPCFBLM_03985	CDS	306				hypothetical protein
BCPCFBLM_03986	CDS	2280				hypothetical protein
BCPCFBLM_03987	CDS	1803				hypothetical protein
BCPCFBLM_03988	CDS	1533	rep_2	3.6.4.12		ATP-dependent DNA helicase Rep
BCPCFBLM_03989	CDS	579				hypothetical protein
BCPCFBLM_03990	CDS	642				hypothetical protein
BCPCFBLM_03991	CDS	738				hypothetical protein
BCPCFBLM_03992	CDS	606				hypothetical protein
BCPCFBLM_03993	CDS	549				hypothetical protein
BCPCFBLM_03994	CDS	2184				hypothetical protein
BCPCFBLM_03995	CDS	762				hypothetical protein
BCPCFBLM_03996	CDS	384				hypothetical protein
BCPCFBLM_03997	CDS	234				hypothetical protein
BCPCFBLM_03998	CDS	360				hypothetical protein
BCPCFBLM_03999	CDS	411				hypothetical protein
BCPCFBLM_04000	CDS	693				hypothetical protein
BCPCFBLM_04001	CDS	939				hypothetical protein
BCPCFBLM_04002	CDS	1410				hypothetical protein
